ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
5213515102,2024-09-16 15:43:34,1726501414186,1726501414,1726501414186,1,0,5213515102,3,0.5,6591.011,6689.686,0.0,6593.096,0.0,-1.04,Volatility 10 Index,-15.905469894409,
5213524129,2024-09-16 15:53:46,1726502026197,1726502026,1726502026197,1,0,5213524129,3,0.5,6592.692,6689.686,0.0,6596.869,0.0,-2.09,Volatility 10 Index,-13.956900596618,
5213536372,2024-09-16 16:08:56,1726502936175,1726502936,1726502936175,0,0,5213536372,3,0.5,6596.939,6583.472,0.0,6594.78,0.0,-1.08,Volatility 10 Index,3.35814809799194,
5213546744,2024-09-16 16:24:18,1726503858185,1726503858,1726503858185,0,0,5213546744,3,0.5,6595.602,6583.472,0.0,6592.762,0.0,-1.42,Volatility 10 Index,1.29855000972747,
5213552348,2024-09-16 16:31:14,1726504274188,1726504274,1726504274188,1,0,5213552348,3,0.5,6593.089,6681.613,0.0,6591.077,0.0,1.01,Volatility 10 Index,-1.1786478757858,
5213559377,2024-09-16 16:40:22,1726504822184,1726504822,1726504822184,1,0,5213559377,3,0.5,6591.272,6681.613,0.0,6589.812,0.0,0.73,Volatility 10 Index,-1.9820501804351,
5213564607,2024-09-16 16:46:26,1726505186177,1726505186,1726505186177,1,0,5213564607,3,0.5,6589.589,6681.613,0.0,6589.533,0.0,0.03,Volatility 10 Index,-3.5105221271514,
5213571423,2024-09-16 16:55:38,1726505738176,1726505738,1726505738176,1,0,5213571423,3,0.5,6588.503,6681.613,0.0,6588.165,0.0,0.17,Volatility 10 Index,-3.9730505943298,
5213583997,2024-09-16 17:11:08,1726506668174,1726506668,1726506668174,1,0,5213583997,3,0.5,6587.817,6681.613,0.0,6587.686,0.0,0.07,Volatility 10 Index,-6.2127218246459,
5213593565,2024-09-16 17:21:26,1726507286192,1726507286,1726507286192,1,0,5213593565,3,0.5,6589.474,6681.613,0.0,6588.087,0.0,0.69,Volatility 10 Index,-5.6973309516906,
5213598438,2024-09-16 17:27:04,1726507624179,1726507624,1726507624179,1,0,5213598438,3,0.5,6588.18,6681.613,0.0,6589.72,0.0,-0.77,Volatility 10 Index,-3.9990096092224,
5213598438,2024-09-16 17:27:04,1726507624179,1726507624,1726507624179,1,0,5213598438,3,0.5,6588.18,6681.613,0.0,6591.125,0.0,-1.47,Volatility 10 Index,-3.9990096092224,
5213610002,2024-09-16 17:43:06,1726508586167,1726508586,1726508586167,1,0,5213610002,3,0.5,6590.423,6681.613,0.0,6595.632,0.0,-2.6,Volatility 10 Index,-2.3905563354492,
5213617068,2024-09-16 17:53:48,1726509228166,1726509228,1726509228166,0,0,5213617068,3,0.5,6595.838,6583.472,0.0,6594.433,0.0,-0.7,Volatility 10 Index,1.39359748363494,
5213617068,2024-09-16 17:53:48,1726509228166,1726509228,1726509228166,0,0,5213617068,3,0.5,6595.838,6583.472,0.0,6594.453,0.0,-0.69,Volatility 10 Index,1.39359748363494,
5213617068,2024-09-16 17:53:48,1726509228166,1726509228,1726509228166,0,0,5213617068,3,0.5,6595.838,6583.472,0.0,6595.246,0.0,-0.3,Volatility 10 Index,1.39359748363494,
5213638271,2024-09-16 18:24:28,1726511068178,1726511068,1726511068178,0,0,5213638271,3,0.5,6595.809,6583.472,0.0,6597.243,0.0,0.72,Volatility 10 Index,0.05107592046260,
5213652706,2024-09-16 18:45:50,1726512350218,1726512350,1726512350218,0,0,5213652706,3,0.5,6596.77,6583.472,0.0,6596.359,0.0,-0.21,Volatility 10 Index,3.81859183311462,
5213964564,2024-09-17 05:34:34,1726551274186,1726551274,1726551274186,0,0,5213964564,3,0.5,6596.052,6583.472,0.0,6595.463,0.0,-0.29,Volatility 10 Index,1.44348394870758,
5213969062,2024-09-17 05:44:04,1726551844186,1726551844,1726551844186,0,0,5213969062,3,0.5,6595.833,6568.27,0.0,6595.196,0.0,-0.32,Volatility 10 Index,2.82362484931945,
5213971890,2024-09-17 05:49:46,1726552186182,1726552186,1726552186182,0,0,5213971890,3,0.5,6595.63,6568.27,0.0,6594.314,0.0,-0.66,Volatility 10 Index,2.81009531021118,
5213976634,2024-09-17 05:59:16,1726552756171,1726552756,1726552756171,0,0,5213976634,3,0.5,6594.449,6568.27,0.0,6593.945,0.0,-0.25,Volatility 10 Index,1.94999372959136,
5213980040,2024-09-17 06:04:58,1726553098200,1726553098,1726553098200,0,0,5213980040,3,0.5,6593.656,6568.27,0.0,6593.342,0.0,-0.16,Volatility 10 Index,1.24700057506561,
5213985293,2024-09-17 06:14:28,1726553668175,1726553668,1726553668175,0,0,5213985293,3,0.5,6593.446,6568.27,0.0,6589.949,0.0,-1.75,Volatility 10 Index,1.08380830287933,
5213988625,2024-09-17 06:20:20,1726554020186,1726554020,1726554020186,1,0,5213988625,3,0.5,6589.863,6661.283,0.0,6592.425,0.0,-1.28,Volatility 10 Index,-2.1686921119689,
5213994831,2024-09-17 06:29:40,1726554580179,1726554580,1726554580179,1,0,5213994831,3,0.5,6592.534,6661.283,0.0,6596.409,0.0,-1.94,Volatility 10 Index,-0.2811627388000,
5214002874,2024-09-17 06:41:14,1726555274196,1726555274,1726555274196,0,0,5214002874,3,0.5,6595.948,6568.27,0.0,6593.913,0.0,-1.02,Volatility 10 Index,3.07839870452880,
5214009283,2024-09-17 06:50:32,1726555832187,1726555832,1726555832187,0,0,5214009283,3,0.5,6594.459,6568.27,0.0,6595.671,0.0,0.61,Volatility 10 Index,1.30299723148345,
5214012975,2024-09-17 06:56:32,1726556192193,1726556192,1726556192193,0,0,5214012975,3,0.5,6595.725,6568.27,0.0,6596.726,0.0,0.5,Volatility 10 Index,3.14017271995544,
5214019061,2024-09-17 07:05:46,1726556746193,1726556746,1726556746193,0,0,5214019061,3,0.5,6596.779,6568.27,0.0,6596.759,0.0,-0.01,Volatility 10 Index,4.04331159591674,
5214022868,2024-09-17 07:11:48,1726557108188,1726557108,1726557108188,0,0,5214022868,3,0.5,6596.894,6568.27,0.0,6597.575,0.0,0.34,Volatility 10 Index,4.20251607894897,
5214028663,2024-09-17 07:20:58,1726557658183,1726557658,1726557658183,0,0,5214028663,3,0.5,6598.028,6568.27,0.0,6598.075,0.0,0.02,Volatility 10 Index,4.80439043045043,
5214032015,2024-09-17 07:27:00,1726558020188,1726558020,1726558020188,0,0,5214032015,3,0.5,6597.997,6568.27,0.0,6603.632,0.0,2.82,Volatility 10 Index,5.56132221221923,
5214037311,2024-09-17 07:36:12,1726558572183,1726558572,1726558572183,0,0,5214037311,3,0.5,6603.776,6568.27,0.0,6603.558,0.0,-0.11,Volatility 10 Index,11.2596778869628,
5214040945,2024-09-17 07:42:14,1726558934172,1726558934,1726558934172,0,0,5214040945,3,0.5,6603.868,6568.27,0.0,6606.319,0.0,1.23,Volatility 10 Index,10.9225292205810,
5214046681,2024-09-17 07:51:26,1726559486185,1726559486,1726559486185,0,0,5214046681,3,0.5,6606.146,6568.27,0.0,6604.131,0.0,-1.01,Volatility 10 Index,13.3066139221191,
5214050856,2024-09-17 07:57:26,1726559846189,1726559846,1726559846189,0,0,5214050856,3,0.5,6603.769,6568.27,0.0,6606.472,0.0,1.35,Volatility 10 Index,11.5618124008178,
5214057117,2024-09-17 08:06:38,1726560398177,1726560398,1726560398177,0,0,5214057117,3,0.5,6606.679,6566.995,0.0,6606.291,0.0,-0.19,Volatility 10 Index,5.07979822158813,
5214061383,2024-09-17 08:12:42,1726560762173,1726560762,1726560762173,0,0,5214061383,3,0.5,6606.287,6566.995,0.0,6606.297,0.0,0.01,Volatility 10 Index,4.70378780364990,
5214067124,2024-09-17 08:21:50,1726561310184,1726561310,1726561310184,0,0,5214067124,3,0.5,6606.682,6566.995,0.0,6606.875,0.0,0.1,Volatility 10 Index,4.81012868881225,
5214192268,2024-09-17 11:16:06,1726571766171,1726571766,1726571766171,0,0,5214192268,3,0.5,6607.11,6566.995,0.0,6603.886,0.0,-1.6099999999999999,Volatility 10 Index,5.70026922225952,
5214199151,2024-09-17 11:25:16,1726572316173,1726572316,1726572316173,0,0,5214199151,3,0.5,6604.008,6566.995,0.0,6603.008,0.0,-0.5,Volatility 10 Index,2.42907834053039,
5214203583,2024-09-17 11:31:18,1726572678177,1726572678,1726572678177,0,0,5214203583,3,0.5,6603.246,6566.995,0.0,6606.685,0.0,1.72,Volatility 10 Index,1.65688621997833,
5214212449,2024-09-17 11:41:50,1726573310171,1726573310,1726573310171,0,0,5214212449,3,0.5,6606.45,6566.995,0.0,6608.522,0.0,1.04,Volatility 10 Index,3.66434431076049,
5214212449,2024-09-17 11:41:50,1726573310171,1726573310,1726573310171,0,0,5214212449,3,0.5,6606.45,6566.995,0.0,6609.587,0.0,1.5699999999999998,Volatility 10 Index,3.66434431076049,
 5214225703,2024-09-17 11:57:40,1726574260186,1726574260,1726574260186,0,0,5214225703,3,0.5,6609.603,6566.995,0.0,6611.419,0.0,0.91,Volatility 10 Index,7.65723371505737,
5214236944,2024-09-17 12:12:52,1726575172178,1726575172,1726575172178,0,0,5214236944,3,0.5,6611.617,6568.32,0.0,6612.431,0.0,0.41,Volatility 10 Index,3.41840791702270,
5214240780,2024-09-17 12:18:14,1726575494187,1726575494,1726575494187,0,0,5214240780,3,0.5,6612.757,6568.32,0.0,6612.61,0.0,-0.07,Volatility 10 Index,4.55224370956420,
5214249988,2024-09-17 12:28:04,1726576084184,1726576084,1726576084184,0,0,5214249988,3,0.5,6613.092,6568.32,0.0,6611.767,0.0,-0.66,Volatility 10 Index,4.78420448303222,
5214257693,2024-09-17 12:33:26,1726576406174,1726576406,1726576406174,0,0,5214257693,3,0.5,6612.173,6568.32,0.0,6616.167,0.0,2.0,Volatility 10 Index,3.71648573875427,
5214269228,2024-09-17 12:43:16,1726576996177,1726576996,1726576996177,0,0,5214269228,3,0.5,6616.755,6568.32,0.0,6615.282,0.0,-0.74,Volatility 10 Index,7.83062314987182,
5214273539,2024-09-17 12:48:38,1726577318174,1726577318,1726577318174,0,0,5214273539,3,0.5,6615.568,6568.32,0.0,6617.483,0.0,0.96,Volatility 10 Index,7.51944208145141,
5214280895,2024-09-17 12:58:28,1726577908177,1726577908,1726577908177,0,0,5214280895,3,0.5,6617.902,6568.32,0.0,6618.065,0.0,0.08,Volatility 10 Index,9.14827919006347,
5214285566,2024-09-17 13:03:48,1726578228197,1726578228,1726578228197,0,0,5214285566,3,0.5,6618.314,6568.32,0.0,6625.586,0.0,3.64,Volatility 10 Index,9.90551948547363,
5214293952,2024-09-17 13:13:40,1726578820176,1726578820,1726578820176,0,0,5214293952,3,0.5,6625.843,6568.32,0.0,6626.411,0.0,0.28,Volatility 10 Index,17.1600112915039,
5214297896,2024-09-17 13:19:02,1726579142182,1726579142,1726579142182,0,0,5214297896,3,0.5,6627.201,6568.32,0.0,6622.64,0.0,-2.2800000000000002,Volatility 10 Index,18.0767135620117,
5214305428,2024-09-17 13:28:52,1726579732188,1726579732,1726579732188,0,0,5214305428,3,0.5,6622.771,6568.32,0.0,6627.911,0.0,2.57,Volatility 10 Index,14.5087356567382,
5214310781,2024-09-17 13:34:14,1726580054192,1726580054,1726580054192,0,0,5214310781,3,0.5,6628.385,6568.32,0.0,6625.751,0.0,-1.32,Volatility 10 Index,19.3295841217041,
5214318716,2024-09-17 13:44:06,1726580646184,1726580646,1726580646184,0,0,5214318716,3,0.5,6625.363,6568.32,0.0,6625.532,0.0,0.08,Volatility 10 Index,17.2802295684814,
5214322984,2024-09-17 13:49:26,1726580966189,1726580966,1726580966189,0,0,5214322984,3,0.5,6625.036,6568.32,0.0,6624.586,0.0,-0.23,Volatility 10 Index,17.4615688323974,
5214331111,2024-09-17 13:59:18,1726581558191,1726581558,1726581558191,0,0,5214331111,3,0.5,6625.03,6568.32,0.0,6620.876,0.0,-2.08,Volatility 10 Index,16.0857276916503,
5214335349,2024-09-17 14:04:38,1726581878215,1726581878,1726581878215,0,0,5214335349,3,0.5,6620.975,6568.32,0.0,6626.69,0.0,2.86,Volatility 10 Index,12.4042568206787,
5214342593,2024-09-17 14:14:30,1726582470202,1726582470,1726582470202,0,0,5214342593,3,0.5,6626.933,6568.32,0.0,6628.595,0.0,0.83,Volatility 10 Index,18.3383407592773,
5214346679,2024-09-17 14:19:50,1726582790181,1726582790,1726582790181,0,0,5214346679,3,0.5,6628.622,6568.32,0.0,6627.88,0.0,-0.37,Volatility 10 Index,20.4938659667968,
5214354651,2024-09-17 14:29:42,1726583382201,1726583382,1726583382201,0,0,5214354651,3,0.5,6627.909,6568.32,0.0,6626.102,0.0,-0.9,Volatility 10 Index,19.3183898925781,
5214358707,2024-09-17 14:35:02,1726583702209,1726583702,1726583702209,0,0,5214358707,3,0.5,6626.831,6568.32,0.0,6627.388,0.0,0.28,Volatility 10 Index,17.5114898681640,
5214365422,2024-09-17 14:44:54,1726584294208,1726584294,1726584294208,0,0,5214365422,3,0.5,6627.551,6568.32,0.0,6628.325,0.0,0.39,Volatility 10 Index,18.5185432434082,
5214369811,2024-09-17 14:50:14,1726584614187,1726584614,1726584614187,0,0,5214369811,3,0.5,6628.085,6568.32,0.0,6625.461,0.0,-1.31,Volatility 10 Index,19.7150459289550,
5214378582,2024-09-17 15:00:06,1726585206195,1726585206,1726585206195,0,0,5214378582,3,0.5,6625.578,6568.32,0.0,6626.992,0.0,0.71,Volatility 10 Index,16.7146892547607,
5214383447,2024-09-17 15:05:24,1726585524176,1726585524,1726585524176,0,0,5214383447,3,0.5,6627.431,6568.32,0.0,6630.668,0.0,1.62,Volatility 10 Index,18.6793327331542,
5214390822,2024-09-17 15:15:18,1726586118174,1726586118,1726586118174,0,0,5214390822,3,0.5,6630.866,6568.32,0.0,6627.757,0.0,-1.55,Volatility 10 Index,21.7697048187255,
